employee_id,department,hire_date,skills,position
EMP_00001,Production,2017-02-17,"['AWS', 'Electric Powertrain', 'Mechanical Design']",Senior
EMP_00002,Engineering,2019-07-19,"['CNC Programming', 'Quality Control']",Lead
EMP_00003,Engineering,2023-12-09,"['CAD', 'PyTorch']",Senior
EMP_00004,Digital,2024-04-01,"['Mechanical Design', 'React', 'Thermal Management']",Mid
EMP_00005,Production,2018-05-09,"['Python', 'Kubernetes', 'Microservices', 'CI/CD']",Senior
EMP_00006,Digital,2015-03-11,"['Azure', 'Mechanical Design', 'Microservices', 'AWS']",Lead
EMP_00007,Quality,2017-10-17,"['Microservices', 'Battery Systems', 'CAD']",Junior
EMP_00008,Quality,2019-09-27,"['JavaScript', 'Battery Systems', 'CI/CD', 'CNC Programming']",Lead
EMP_00009,Engineering,2017-03-02,"['Computer Vision', 'CNC Programming']",Junior
EMP_00010,Production,2018-07-26,"['React', 'Kubernetes', 'Python']",Mid
EMP_00011,Production,2024-12-04,"['Battery Systems', 'Thermal Management']",Junior
EMP_00012,IT,2021-05-22,"['NLP', 'TensorFlow', 'Charging Infrastructure']",Mid
EMP_00013,E-Mobility,2013-09-19,"['Mechanical Design', 'LLM Integration']",Mid
EMP_00014,Digital,2013-05-30,"['AutoCAD', 'Mechanical Design']",Junior
EMP_00015,IT,2013-03-13,"['Kubernetes', 'CATIA', 'Azure', 'Microservices']",Junior
EMP_00016,Engineering,2017-10-26,"['CATIA', 'AWS']",Senior
EMP_00017,Production,2017-01-25,"['Charging Infrastructure', 'PyTorch', 'Kubernetes', 'Azure']",Lead
EMP_00018,E-Mobility,2013-06-17,"['JavaScript', 'Quality Control']",Senior
EMP_00019,Engineering,2014-01-10,"['CATIA', 'TensorFlow', 'Mechanical Design']",Senior
EMP_00020,Quality,2024-06-19,"['Energy Management', 'CATIA']",Senior
EMP_00021,IT,2013-04-29,"['Mechanical Design', 'Quality Control', 'Microservices', 'Kubernetes']",Lead
EMP_00022,Digital,2024-06-24,"['Battery Systems', 'Machine Learning', 'Computer Vision', 'Microservices']",Junior
EMP_00023,E-Mobility,2024-09-10,"['Electric Powertrain', 'CATIA', 'PyTorch']",Mid
EMP_00024,Production,2021-05-11,"['Azure', 'Electric Powertrain', 'Quality Control', 'AWS', 'Mechanical Design']",Senior
EMP_00025,Production,2019-02-27,"['Mechanical Design', 'Python', 'Energy Management', 'AWS']",Mid
EMP_00026,Quality,2017-03-07,"['Python', 'CNC Programming', 'CAD']",Mid
EMP_00027,Engineering,2014-06-09,"['Azure', 'Battery Systems', 'Energy Management']",Senior
EMP_00028,E-Mobility,2018-11-25,"['CNC Programming', 'Microservices', 'CAD', 'Quality Control', 'Computer Vision']",Senior
EMP_00029,Digital,2015-06-16,"['Mechanical Design', 'Microservices', 'CNC Programming']",Junior
EMP_00030,Engineering,2013-10-01,"['Electric Powertrain', 'CAD', 'CATIA']",Mid
EMP_00031,IT,2018-12-10,"['Kubernetes', 'Docker', 'Battery Systems', 'CAD', 'AutoCAD']",Senior
EMP_00032,Digital,2021-03-19,"['JavaScript', 'CATIA', 'Energy Management', 'Microservices']",Lead
EMP_00033,Engineering,2014-06-29,['Mechanical Design'],Lead
EMP_00034,Production,2024-10-08,"['Electric Powertrain', 'React']",Senior
EMP_00035,Digital,2015-05-03,"['Azure', 'CAD', 'Quality Control', 'Mechanical Design']",Senior
