Content_ID,Title,Type,Internal/External_Content,URL,Provider,Estimated_Learning_Minutes
CONT-81176,Quality-focused intermediate implementation,Workshop,Internal,https://campbell.com/,Udemy,450
CONT-51220,Cross-group bi-directional array,Course,Internal,http://crawford.net/,Microsoft,88
CONT-62205,Cross-platform scalable intranet,Course,External,http://lewis-frank.net/,Udemy,303
CONT-41519,Multi-tiered bifurcated customer loyalty,Workshop,External,https://www.ponce-sloan.biz/,Google,184
CONT-60311,Stand-alone tertiary toolset,Tutorial,Internal,https://www.casey-romero.com/,edX,271
CONT-55332,Switchable empowering function,Course,Internal,https://www.mccullough.com/,HarvardX,133
CONT-19963,Advanced 4thgeneration collaboration,Article,External,https://jackson-armstrong.biz/,Skillsoft,30
CONT-93115,Front-line next generation infrastructure,Article,External,http://solis.biz/,MIT OpenCourseWare,131
CONT-56636,De-engineered scalable info-mediaries,Workshop,External,http://holmes-kim.com/,HarvardX,110
CONT-99088,Triple-buffered clear-thinking middleware,Workshop,External,http://rangel.com/,edX,410
CONT-91083,Expanded background array,Article,Internal,http://fuller.com/,edX,57
CONT-45123,Assimilated regional strategy,Video,External,http://newton.info/,Udemy,393
CONT-61068,Sharable responsive time-frame,Article,External,https://www.delgado.com/,edX,61
CONT-10680,Ergonomic national encryption,Article,External,https://williams.com/,Skillsoft,404
CONT-45358,Sharable optimal benchmark,Course,Internal,http://martinez.com/,edX,110
CONT-66489,Cross-group asynchronous methodology,Podcast,External,https://www.garcia-pope.biz/,edX,28
CONT-21746,Compatible mobile product,Article,Internal,http://www.barnes.info/,Microsoft,321
CONT-52523,Diverse contextually-based framework,Tutorial,External,http://www.bradley.com/,Coursera,164
CONT-64238,Monitored mission-critical pricing structure,Podcast,Internal,http://www.harmon.com/,Google,478
CONT-41816,Public-key 3rdgeneration model,Workshop,Internal,http://www.wilson-robinson.com/,HarvardX,101
CONT-28198,Devolved directional artificial intelligence,Article,External,http://olson-ashley.com/,Pluralsight,267
CONT-29127,Triple-buffered neutral projection,Course,Internal,https://lamb.com/,HarvardX,156
CONT-65194,Function-based context-sensitive customer loyalty,Article,External,https://silva.com/,edX,199
CONT-42990,Down-sized demand-driven success,Video,External,https://henderson-burgess.com/,Microsoft,330
CONT-35630,Secured bi-directional portal,Podcast,Internal,https://bradley.com/,Udemy,170
CONT-10887,Organized composite alliance,Podcast,External,https://munoz-wiley.net/,Microsoft,209
CONT-53193,Multi-channeled hybrid algorithm,Podcast,External,http://www.jordan-lopez.com/,HarvardX,432
CONT-95332,Compatible didactic protocol,Workshop,Internal,https://chan.com/,Pluralsight,179
CONT-89064,Intuitive system-worthy access,Webinar,Internal,https://www.bradley-morris.com/,MIT OpenCourseWare,175
CONT-33283,Realigned asymmetric info-mediaries,Podcast,External,https://www.robinson.com/,Pluralsight,391
CONT-92955,Re-engineered secondary instruction set,Podcast,Internal,https://gonzalez-williams.info/,Skillsoft,207
CONT-46739,Proactive 6thgeneration focus group,Tutorial,External,https://www.chavez.com/,Skillsoft,73
CONT-83905,Reverse-engineered human-resource encoding,Video,Internal,http://schneider.com/,Google,28
CONT-70505,Persistent executive capacity,Webinar,Internal,https://www.hull.com/,MIT OpenCourseWare,423
CONT-48185,Phased bandwidth-monitored website,Tutorial,Internal,https://stewart-reed.com/,HarvardX,359
CONT-75444,Realigned zero-defect functionalities,Video,External,https://www.evans-riggs.info/,LinkedIn Learning,144
CONT-96332,Stand-alone bottom-line hub,Video,External,http://www.williams.com/,HarvardX,52
CONT-68860,Customer-focused fresh-thinking solution,Workshop,External,https://www.miller.com/,Microsoft,220
CONT-80040,Public-key 24hour solution,Workshop,External,http://rodriguez.com/,Google,33
CONT-57124,Fundamental full-range solution,Webinar,Internal,https://jackson.com/,edX,408
CONT-42536,Intuitive client-server system engine,Webinar,External,https://martinez.info/,Udemy,346
CONT-90304,Grass-roots fresh-thinking throughput,Course,External,https://www.baker.com/,Skillsoft,422
CONT-66420,Multi-channeled next generation encryption,Course,Internal,http://www.bonilla.com/,edX,147
CONT-39098,Advanced static data-warehouse,Workshop,Internal,https://freeman.com/,MIT OpenCourseWare,206
CONT-61266,Reverse-engineered well-modulated moderator,Podcast,Internal,https://gibson.com/,Skillsoft,27
CONT-73277,Face-to-face high-level info-mediaries,Course,External,https://www.lopez-ramirez.com/,HarvardX,58
CONT-25213,Synergized fault-tolerant orchestration,Tutorial,Internal,http://www.walter-mcgee.com/,Skillsoft,174
CONT-54966,Ameliorated logistical contingency,Podcast,Internal,https://www.stanley-chavez.com/,Google,262
CONT-55652,Decentralized neutral artificial intelligence,Podcast,Internal,https://hernandez.biz/,MIT OpenCourseWare,384
CONT-69303,Profound full-range application,Article,Internal,https://davis-wong.biz/,Pluralsight,37
CONT-25084,Ergonomic explicit core,Course,External,https://www.hill.com/,edX,361
CONT-31542,Synergized actuating project,Webinar,Internal,http://www.wilson.org/,Google,104
CONT-82339,Future-proofed disintermediate architecture,Video,External,http://andrade.biz/,Google,233
CONT-70562,Object-based hybrid attitude,Video,External,http://harris-floyd.com/,Udemy,110
CONT-93948,Sharable executive strategy,Webinar,External,https://www.lopez.org/,HarvardX,29
CONT-90492,Polarized user-facing function,Video,External,http://www.maldonado-jackson.com/,Microsoft,234
CONT-60965,Persevering client-server access,Course,Internal,https://smith-mccann.com/,LinkedIn Learning,157
CONT-18200,Down-sized systematic task-force,Workshop,Internal,http://aguilar-freeman.com/,Google,110
CONT-57945,Phased bifurcated analyzer,Article,Internal,http://fox.com/,MIT OpenCourseWare,73
CONT-44387,Vision-oriented bandwidth-monitored attitude,Webinar,External,https://henry-bell.net/,Google,342
CONT-51078,Function-based stable matrix,Workshop,External,https://smith-gomez.com/,Microsoft,215
CONT-86939,Programmable zero-defect protocol,Course,External,https://www.jennings-chandler.com/,Skillsoft,447
CONT-70012,Digitized incremental definition,Workshop,Internal,http://johnson-lane.biz/,Pluralsight,329
CONT-87354,Multi-lateral demand-driven synergy,Course,Internal,http://www.fowler-sheppard.net/,Skillsoft,75
CONT-41270,Organized multi-tasking conglomeration,Article,Internal,https://myers-butler.com/,Udemy,206
CONT-28528,Integrated content-based analyzer,Workshop,External,https://www.pope-knight.com/,HarvardX,320
CONT-28070,Horizontal bifurcated access,Workshop,External,https://www.becker-mills.com/,HarvardX,110
CONT-73788,Secured next generation secured line,Webinar,Internal,http://roberts-marsh.com/,Google,100
